timestamp,AAPL,MSFT,GOOG,AMZN,NVDA,META,TSLA,JPM,BAC,GS,JNJ,PFE,LLY,XOM,CVX,PG,KO,PEP,MCD,SBUX,BA,CAT,DUK,DD,WMT
2024-02-12 05:00:00,187.15,415.26,148.73,172.34,72.248,468.9,188.13,175.79,33.62,392.64,157.85,27.66,737.26,103.17,152.08,157.11,59.7,170.61,289.44,95.47,209.33,321.63,92.65,28.6485,56.7667
2024-02-13 05:00:00,185.04,406.32,146.37,168.64,72.128,460.12,184.02,174.26,32.75,378.75,156.47,26.97,742.97,101.34,150.6,156.27,59.35,168.88,287.11,93.87,204.46,312.84,91.61,27.9665,56.38
2024-02-14 05:00:00,184.15,409.49,147.14,170.98,73.9,473.28,188.71,176.03,33.13,378.04,155.74,27.11,757.31,100.84,151.01,155.63,59.29,167.52,288.17,94.07,203.38,316.71,91.34,28.3054,56.2
2024-02-15 05:00:00,183.86,406.56,143.94,169.8,72.658,484.03,200.45,179.87,34.07,385.42,157.92,27.51,757.78,103.73,154.46,157.01,59.4,167.86,291.86,93.22,205.33,323.07,92.36,28.6402,56.43
2024-02-16 05:00:00,182.31,404.06,141.76,169.51,72.613,473.32,199.95,179.03,34.09,384.44,156.55,27.62,782.06,103.73,154.63,157.51,59.39,166.32,292.02,93.22,203.89,321.91,91.88,28.6402,56.7867
2024-02-20 05:00:00,181.56,402.79,142.2,167.08,69.452,471.75,193.76,179.73,33.96,384.52,157.86,27.59,755.66,102.75,154.0,158.51,60.7,168.65,292.65,93.46,203.37,313.74,91.94,28.4393,58.62
2024-02-21 05:00:00,182.32,402.18,143.84,168.59,67.472,468.03,194.77,180.9,33.7,388.27,158.68,27.67,745.91,104.85,155.44,160.4,61.24,168.83,293.91,95.02,201.57,317.14,92.99,28.8954,57.9
2024-02-22 05:00:00,184.37,411.65,145.32,174.58,78.538,486.13,197.41,183.07,33.61,390.47,160.45,27.55,769.64,104.76,155.43,160.56,61.15,168.25,295.92,95.78,201.5,322.09,92.13,29.2594,58.47
2024-02-23 05:00:00,182.52,410.34,145.29,174.99,78.817,484.03,191.97,183.99,33.92,391.05,161.84,27.76,769.54,103.84,154.66,161.03,61.2,169.6,297.75,95.62,200.83,323.88,92.73,29.272,58.52
2024-02-26 05:00:00,181.16,407.54,138.75,174.73,79.092,481.74,199.4,183.36,33.61,390.22,160.79,27.18,771.92,104.25,154.45,160.22,60.71,168.26,297.12,94.28,200.54,325.38,90.65,29.251,59.6
2024-02-27 05:00:00,182.63,407.48,140.1,173.54,78.701,487.05,199.73,183.45,34.28,390.81,160.98,26.89,765.0,104.03,152.16,159.3,60.34,168.16,293.76,94.13,201.4,327.63,90.85,29.1213,59.59
2024-02-28 05:00:00,181.42,407.72,137.43,173.16,77.663,484.02,202.04,184.38,34.31,393.18,161.55,27.04,757.64,104.32,152.34,160.05,60.4,167.03,295.19,93.0,207.0,329.56,90.74,29.1339,59.62
2024-02-29 05:00:00,180.75,413.64,139.78,176.76,79.112,490.13,201.88,186.06,34.52,389.05,161.38,26.56,753.68,104.52,152.01,158.94,60.02,165.34,292.28,94.9,203.72,333.96,91.83,28.9498,58.61
2024-03-01 05:00:00,179.66,415.5,138.08,178.22,82.279,502.3,202.64,185.29,34.35,388.1,162.12,26.59,782.12,105.84,152.81,158.85,59.53,164.59,290.73,93.16,200.0,336.7,90.86,29.1046,58.76
2024-03-04 05:00:00,175.1,414.92,134.2,177.58,85.237,498.19,188.14,186.68,35.15,392.25,159.84,25.89,792.28,104.36,148.88,159.56,59.81,165.37,290.94,92.46,200.54,338.65,92.42,29.1381,59.3
2024-03-05 05:00:00,170.12,402.65,133.78,174.12,85.964,490.22,180.74,188.55,35.39,390.91,159.97,26.08,777.59,105.64,149.59,159.32,59.52,162.04,292.54,91.22,201.14,333.53,92.69,28.8703,60.04
2024-03-06 05:00:00,169.12,402.09,132.56,173.51,88.7,496.09,176.54,189.53,35.42,389.57,159.34,27.19,779.77,106.77,148.33,159.57,59.55,163.0,292.93,91.65,201.0,335.63,94.07,29.4059,60.57
2024-03-07 05:00:00,169.0,409.14,135.24,176.82,92.669,512.19,178.65,187.87,35.63,388.43,158.87,26.79,780.16,107.37,149.37,160.62,59.44,163.11,291.11,90.95,203.03,340.22,94.48,29.7866,60.36
2024-03-08 05:00:00,170.73,406.22,136.29,175.35,87.528,505.95,175.34,188.22,35.6,386.99,159.52,27.22,762.14,108.38,149.88,160.35,59.52,163.05,292.55,91.06,198.49,339.19,94.94,29.8745,60.12
2024-03-11 04:00:00,172.75,404.52,138.94,171.96,85.774,483.59,177.77,188.29,35.89,386.16,161.23,28.37,734.37,109.02,152.0,161.55,60.24,164.73,294.82,92.07,192.49,334.97,95.84,30.1883,60.66
2024-03-12 04:00:00,173.23,415.28,139.62,175.39,91.913,499.75,177.54,189.84,35.96,388.18,162.74,28.01,754.95,108.32,151.89,161.93,60.5,164.54,294.31,92.4,184.24,337.24,95.01,30.1423,61.41
2024-03-13 04:00:00,171.13,415.1,140.77,176.555,90.888,495.57,169.48,191.38,36.08,392.31,161.1,28.22,757.84,109.53,153.89,162.3,61.12,165.3,282.86,91.61,182.35,341.52,95.5,30.8703,61.28
2024-03-14 04:00:00,173.0,425.22,144.34,178.75,87.944,491.83,162.5,187.97,35.69,388.61,159.21,28.13,760.73,111.47,155.7,161.5,60.5,164.78,281.73,91.66,181.15,341.92,95.05,30.8828,61.02
2024-03-15 04:00:00,172.62,416.42,142.17,174.42,87.8365,484.1,163.57,190.3,35.41,387.21,158.18,27.94,754.17,111.27,155.55,161.38,59.88,164.66,279.14,90.12,182.53,346.97,94.71,30.7238,60.68
2024-03-18 04:00:00,173.72,417.32,148.48,174.48,88.455,496.98,173.8,192.66,36.01,384.37,156.76,27.72,762.66,112.3,155.41,161.21,60.13,171.26,278.58,91.01,179.84,351.9,94.94,30.7615,60.86
2024-03-19 04:00:00,176.08,421.41,147.92,175.9,89.398,496.24,171.32,193.79,36.03,388.66,156.21,27.63,772.78,113.09,156.62,161.83,60.23,171.8,282.87,91.59,181.14,353.9,95.14,30.8452,60.87
2024-03-20 04:00:00,178.67,425.23,149.68,178.15,90.372,505.52,175.66,196.33,36.75,396.47,155.76,27.7,772.86,112.99,154.55,161.99,60.75,171.86,284.45,92.6,187.78,356.45,95.41,31.1757,61.25
